GameID,Title,Max Players,Review Score,Sales,Price,Category,Year
387,Ys VI: The Ark of Napishtim,1,64,0.05,16.95,E,2006
388,Bomberman Land Touch!,1,78,0.04,24.95,E,2006
389,Point Blank DS,1,66,0.04,17.95,M,2006
390,Scurge: Hive,1,70,0.04,8.95,M,2006
391,Star Trek: Tactical Assault,1,63,0.04,17.95,T,2006
392,Tao's Adventure: Curse of the Demon Seal,1,50,,14.95,E,2006
393,Ford Bold Moves Street Racing,1,52,0.04,17.95,T,2006
394,Gitaroo Man Lives!,1,80,0.04,22.95,E,2006
395,Gradius Collection,1,76,0.04,17.95,T,2006
396,The Legend of Heroes II: Prophecy of the Moonli...,1,63,0.04,17.95,E,2006
397,Pac-Man World Rally,1,51,0.04,17.95,T,2006
398,Bomberman: Act Zero,1,34,0.04,12.95,E,2006
399,Earth Defense Force 2017,2,69,0.03,17.95,T,2006
400,WarTech: Senko no Ronde,2,60,0.03,12.95,T,2006
401,MechAssault: Phantom War,1,66,0.03,12.95,E,2006
402,Astonishia Story,1,48,0.03,16.95,T,2006
403,B-Boy,1,50,0.03,17.95,E,2006
404,BattleZone,1,57,0.03,14.95,E,2006
405,Bounty Hounds,1,63,0.03,17.95,T,2006
406,Bubble Bobble Evolution,1,47,0.03,12.95,E,2006
407,MotoGP,1,69,0.03,32.95,E,2006
408,OutRun 2006: Coast 2 Coast,1,82,0.03,17.95,E,2006
409,Warhammer: Battle for Atluma,1,55,0.03,17.95,M,2006
410,SBK: Snowboard Kids,1,63,0.02,19.95,E,2006
411,Tenchu: Dark Secret,1,37,0.02,14.95,E,2006
412,Dungeon Maker: Hunting Ground,1,70,0.02,14.95,E,2006
413,Metal Gear Solid: Digital Graphic Novel,1,78,0.02,17.95,T,2006
414,Star Trek: Tactical Assault,1,64,0.02,17.95,E,2006
415,Micro Machines V4,2,61,0.01,17.95,E,2006
416,Platypus,2,59,,14.95,T,2006
417,Custom Robo Arena,1,74,0.01,17.95,T,2006
418,Gurumin: A Monstrous Adventure,1,78,0.01,13.95,T,2006
419,Spider-Man 3,1,58,0.01,6.95,M,2006
420,Wii Fit,1,80,9.6,24.95,T,2007
421,Halo 3,4,94,8.03,24.95,E,2007
422,Call of Duty 4: Modern Warfare,4,94,5.77,29.95,E,2007
423,Super Mario Galaxy,2,97,4.94,39.95,E,2007
424,Mario Party DS,1,72,4.34,27.95,T,2007
425,Mario Party 8,4,62,3.84,39.95,T,2007
426,Guitar Hero III: Legends of Rock,2,85,3.28,12.95,T,2007
427,Link's Crossbow Training,1,68,3.2,14.95,E,2007
428,Guitar Hero III: Legends of Rock,2,86,3.19,49.95,T,2007
429,Assassin's Creed,1,81,3.17,16.95,T,2007
430,LEGO Star Wars: The Complete Saga,2,80,3.03,17.95,M,2007
431,Call of Duty 4: Modern Warfare,4,94,2.91,24.95,E,2007
432,Mario & Sonic at the Olympic Games,4,67,2.74,29.95,E,2007
433,LEGO Star Wars: The Complete Saga,1,80,2.66,17.95,E,2007
434,Forza Motorsport 2,2,90,2.48,12.95,T,2007
435,Madden NFL 08,4,85,2.32,9.95,E,2007
436,Guitar Hero II,2,92,2.04,17.95,T,2007
437,Rock Band,4,92,2.02,14.95,E,2007
438,The Legend of Zelda: Phantom Hourglass,1,90,1.92,24.95,E,2007
439,Pokmon Mystery Dungeon: Explorers of Darkness,1,59,1.91,15.95,E,2007
440,Pokmon Mystery Dungeon: Explorers of Time,1,59,1.91,24.95,T,2007
